DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2884.932,311.1,310.1722,0.9821,0.976,0.9575,0.8507,-1.5478,485.9906,452.8241,478.0156,269.9749,479.2333,75.3463,316.4665,245.7239,305.221,0.3475,3.8138,2495.9575,42.953,6652.0,1.6773
2885.0844,311.1,310.4537,0.9817,0.9736,0.97,0.8346,-2.5395,485.1652,451.4032,474.2129,267.0351,476.8702,74.9904,315.8772,309.8377,306.1367,0.3328,3.741,2488.4695,45.0527,6645.0,1.6904
2885.2368,311.1,310.6279,0.9811,0.9722,0.9526,0.7693,-2.1909,484.3925,448.3601,471.0159,267.0195,471.8897,72.2622,316.4941,308.9119,306.1969,0.341,3.6901,2467.9475,47.0878,6593.0,1.6791
2885.3892,311.1,309.7776,0.9807,0.9589,0.9536,0.8068,-0.1624,483.7278,444.0359,466.4733,266.4461,471.5319,70.5792,316.9394,307.4801,306.5589,0.3264,3.6076,2454.4922,44.6968,6616.0,1.6665
2885.5416,311.1,310.4537,0.9805,0.9718,0.9478,0.8156,0.6981,483.4996,449.257,471.9582,263.5121,471.7044,64.7668,318.4913,307.5361,307.4284,0.3121,3.8602,2464.6523,44.7836,6645.0,1.7049
2885.694,311.1,310.1722,0.9813,0.9755,0.9567,0.7263,2.2628,484.1944,448.6853,471.3576,262.9814,463.1022,62.0385,318.0063,307.5792,306.3058,0.2902,3.901,2485.9617,39.006,6632.0,1.7061
2885.8464,311.1,311.0072,0.9844,0.9777,0.9685,0.7404,5.0865,486.284,452.5624,475.4306,262.8623,467.9263,62.2758,317.6357,306.4751,306.5169,0.357,4.1718,2521.0925,36.9697,6647.0,1.7217
2885.9988,311.1,309.6591,0.9863,0.9788,0.9317,0.7605,3.3442,491.0556,454.1617,479.4276,265.0763,471.8232,68.6813,318.7937,305.9966,304.6754,0.4066,4.0705,2526.4709,35.7648,6666.0,1.7133
2886.1512,311.1,310.3504,0.9841,0.9775,0.9192,0.828,0.7686,491.7823,453.6539,478.8915,273.1854,485.7231,71.1723,317.7061,305.6948,304.0767,0.3612,4.1986,2523.5039,41.2452,6559.0,1.6606
2886.3036,311.1,310.7085,0.981,0.9752,0.9437,0.7765,5.0094,489.8638,452.9963,478.1973,276.1147,486.0167,74.4937,317.5006,306.2741,304.413,0.3272,4.1852,2514.6387,42.3954,6653.0,1.6406
