2967.8,21.09895927,2.63621846,21.10717517,0.18146185,393.03943046,
2968.0,21.13472746,2.67836506,20.91576906,0.18049105,396.00453184,
2968.2,21.12258577,2.71661115,20.72890454,0.17990602,398.00205552,
2968.4,21.00988155,2.74020695,20.6405181,0.18024165,398.49596951,
2968.6,20.84261687,2.75227047,20.72823046,0.18153622,397.67504386,
2968.8,20.71762352,2.7612939,20.98197615,0.18294994,396.09841214,
2969.0,20.68789413,2.77294957,21.274424,0.18334949,394.26955051,
2969.2,20.7183327,2.78584376,21.42307724,0.18269414,392.37802333,
2969.4,20.7358848,2.79288757,21.30463459,0.18262566,390.26594793,
2969.6,20.71283922,2.7892219,20.95604171,0.18501375,387.63737566,
2969.8,20.69304117,2.78215603,20.58294723,0.18961417,384.53912348,
2970.0,20.73598265,2.78915874,20.44928568,0.19363192,381.74001264,
2970.2,20.8475799,2.81894306,20.68991668,0.19427625,380.4025113,
2970.4,20.97724295,2.85405488,21.16808926,0.19176846,381.08136556,
2970.6,21.07971183,2.8615765,21.5226792,0.18926658,383.02397029,
2970.8,21.16176713,2.82679798,21.42744938,0.18968191,384.62157328,
2971.0,21.25890578,2.77232967,20.86939031,0.19309655,384.69683236,
2971.2,21.37999996,2.7364347,20.18703226,0.19760336,383.34557022,
2971.4,21.48887574,2.73427908,19.79487436,0.2019268,381.52317116,
2971.6,21.54464955,2.746348,19.83816635,0.20619223,379.94085154,
2971.8,21.54288057,2.74712956,20.0950449,0.21015334,378.5013452,
2972.0,21.51424927,2.73664719,20.20260449,0.21191311,376.8443794,
2972.2,21.491172,2.7364809,19.96789625,0.20944236,375.26236397,
2972.4,21.48972022,2.75875049,19.47425734,0.20322559,374.86535112,
2972.6,21.51113646,2.79079688,18.92863045,0.19649719,376.61227663,
2972.8,21.54041581,2.81292186,18.45209035,0.19250973,380.14590364,
2973.0,21.54436372,2.82128273,18.02148393,0.19185437,383.62490195,
2973.2,21.48928848,2.82422319,17.57676401,0.19262784,384.99182223,
2973.4,21.37603567,2.82118962,17.13299809,0.19278449,383.51452862,
2973.6,21.25752466,2.79892966,16.79937776,0.19193149,380.24585814,
2973.8,21.21266985,2.7528353,16.70118016,0.19103962,377.01179517,
2974.0,21.3037935,2.70269246,16.90195361,0.19077318,375.06762533,
2974.2,21.55197147,2.67573848,17.36214258,0.19068649,374.68565334,
2974.4,21.93866922,2.6748082,17.9356721,0.18995731,375.54097124,
2974.6,22.41531428,2.67337886,18.43546243,0.18860489,377.26909952,
2974.8,22.88857785,2.64579042,18.75337912,0.18817509,379.50946287,
2975.0,23.28366253,2.59885336,18.93049574,0.19058967,381.83421061,
2975.2,23.57424355,2.56615079,19.08815756,0.19640529,383.84717403,
2975.4,23.78788062,2.57283644,19.27693248,0.20407281,385.09125922,
