DEPT,PZ,GZ,CALI,SP
82.0,5.7741807,5.49232546,31.88660699,8.41305179
82.2,5.78544262,5.46158072,31.76329165,8.30471932
82.4,5.79670453,5.46071687,31.75880041,8.15684951
82.6,5.80796644,5.4619909,31.70558424,8.06383176
82.8,5.81922836,5.47151603,31.69054468,8.06770619
83.0,5.83049027,5.48120089,31.67861227,8.06584339
83.2,5.84175218,5.49087438,31.67327589,8.05831196
83.4,5.85301409,5.50054256,31.98092873,8.20797944
83.6,5.86427601,5.51021262,32.40704294,8.41885313
83.8,5.87553792,5.51987393,33.86770651,8.42766279
84.0,5.88679983,5.52953524,34.2652837,8.43066095
84.2,5.89806175,5.53919655,34.29051746,8.43182682
84.4,5.90932366,5.54885786,33.45431102,8.43267763
84.6,5.92058557,5.55851917,33.29414756,8.43322238
84.8,5.93184749,5.56818047,33.26999218,8.36965969
85.0,5.9431094,5.57784178,33.36996292,8.13993353
85.2,5.95437131,5.58750309,34.21240475,7.93864557
85.4,5.96563474,5.5971644,35.70325816,7.60398127
85.6,5.97689568,5.60682571,36.15127904,7.02588435
85.8,5.98824453,5.61648702,36.9393428,6.71187918
86.0,5.99975746,5.62614833,37.46736249,6.35779946
86.2,6.01105508,5.63582078,35.70931755,5.93287211
86.4,6.00919307,5.64549939,35.4033612,5.69518308
86.6,5.985895,5.65513072,35.01980238,5.35713129
86.8,5.96355882,5.6646881,35.86312595,5.06134831
87.0,5.94155103,5.67406943,36.7015802,4.7708754
87.2,5.919532,5.67441309,36.84449707,4.47834954
87.4,5.89746696,5.67445643,36.906701,4.18433802
87.6,5.87541848,5.67410191,36.90720048,3.89055719
87.8,5.85336999,5.67443253,36.89278398,3.59686945
88.0,5.83132151,5.67697543,36.88323405,3.30318172
88.2,5.80927302,5.68399248,36.93806357,3.00949398
88.4,5.78722453,5.71387444,36.18274033,2.71580625
88.6,5.76517605,5.79765364,37.42481232,2.42211851
88.8,5.74312751,5.8004977,37.74728292,2.12843078
89.0,5.72105436,5.80248628,37.85323795,1.83474305
89.2,5.69897472,5.80334908,38.44774618,1.54105531
89.4,5.67701285,5.80314572,40.24745616,1.24736758
89.6,5.65519657,5.80299786,41.31498982,0.95367984
89.8,5.63284714,5.80299786,39.43613986,0.65999211
90.0,5.62865012,5.80299786,39.31479552,0.36630437
90.2,5.6249031,5.80299786,39.06843599,0.07258001
90.4,5.62135206,5.80299786,38.92925121,-0.22087306
90.6,5.61790552,5.80299786,38.72178028,-0.51440201
90.8,5.61444096,5.80308344,39.08203598,-0.80992678
91.0,5.61095307,5.80298741,35.59180513,-1.11025978
91.2,5.60746518,5.80226052,35.41643711,-1.3058865
91.4,5.60397728,5.80243855,36.59556857,-1.4614226
91.6,5.60048938,5.80769653,37.66045192,-1.63812006
91.8,5.59700149,5.75824425,37.97712987,-1.85954604
92.0,5.59351359,5.7266503,36.44532167,-1.93865449
92.2,5.5900257,5.72216286,36.43273044,-2.12611909
92.4,5.5865378,5.67449388,36.4232488,-2.34504471
92.6,5.5830499,5.6329427,36.39574137,-2.46222353
