DEPT,ÃÇ,ÏÇ,SP,CALI
2990.4,11.95159759,5.75738367,,24.56330558
2990.6,12.01481166,5.75702233,,24.56693792
2990.8,12.03199805,5.76248694,,24.61208354
2991.0,11.84219362,5.79305645,,24.7015237
2991.2,11.40589562,5.84182775,,24.80326943
2991.4,10.85663079,5.88488321,,24.8727015
2991.6,10.3790434,5.90884824,,24.87858071
2991.8,10.05385582,5.92441397,,24.81510359
2992.0,9.82912342,5.95296661,,24.70040002
2992.2,9.62520722,6.00253081,,24.56946161
2992.4,9.44344033,6.05987152,,24.462165
2992.6,9.3609903,6.10480138,,24.40517623
2992.8,9.44097561,6.13024613,,24.39800661
2993.0,9.66286059,6.14827227,,24.41683982
2993.2,9.93553194,6.17718148,,24.43556653
2993.4,10.15531895,6.22232843,,24.44261256
2993.6,10.24961785,6.26809023,,24.43770489
2993.8,10.18808556,6.2891289,,24.41945624
2994.0,9.98699925,6.27147216,,24.38697445
2994.2,9.71675836,6.22490661,,24.35631501
2994.4,9.49479302,6.17476851,,24.36566914
2994.6,9.44063662,6.14192113,,24.448604
2994.8,9.60970046,6.13029723,,24.59438457
2995.0,9.95270836,6.13194907,,24.73866889
2995.2,10.33616931,6.13917923,,24.80286941
2995.4,10.6228526,6.14775363,,24.74963671
2995.6,10.75841913,6.15072733,,24.60721891
2995.8,10.79738901,6.13656431,,24.44565314
2996.0,10.84451654,6.09977944,,24.33217333
2996.2,10.95347735,6.05155933,,24.29905002
2996.4,11.07169292,6.01408797,,24.33827873
2996.6,11.08786172,6.00116319,,24.41682093
2996.8,10.93803916,6.00697825,,24.49881067
2997.0,10.66475911,6.01527936,,24.56300199
2997.2,10.37159201,6.01652687,,24.60564446
2997.4,10.13051613,6.01309911,,24.63045698
2997.6,9.94720645,6.0107861,,24.63656
2997.8,9.80844365,6.01059413,,24.61594001
2998.0,9.72924127,6.01083799,,24.56051426
2998.2,9.72733966,6.01223517,,24.47254591
2998.4,9.76620456,6.01547423,,24.37238393
2998.6,9.76151517,6.01661677,,24.2970032
2998.8,9.65842783,6.0106344,,24.28488744
2999.0,9.48588983,6.00214583,,24.35019893
2999.2,9.32023827,6.00706478,,24.46628839
2999.4,9.20801909,6.03716068,,24.57710763
2999.6,9.14126261,6.08341583,,24.63181238
2999.8,9.09632124,6.12171837,,24.61352652
3000.0,9.06916455,6.13749514,,24.54077733
3000.2,9.06712003,6.14059114,,24.44728408
3000.4,9.08402606,6.15104927,,24.36330702
3000.6,9.09203221,6.17307994,,24.30854283
3000.8,9.04779755,6.18906862,,24.29030096
3001.0,8.90454351,6.18103358,,24.30122843
3001.2,8.63907871,6.15293844,,24.322001
3001.4,8.29063549,6.12869761,,24.33213668
3001.6,7.96759579,6.12794246,,24.32173669
3001.8,7.78955969,6.14569052,,24.29278039
3002.0,7.80129192,6.15672853,,24.25194949
3002.2,7.93887528,6.13935756,,24.20707102
3002.4,8.08408002,6.09625928,,24.16996055
3002.6,8.16351267,6.0512047,,24.1571736
3002.8,8.20501006,6.0236138,,24.17979076
3003.0,8.30089722,6.00753719,,24.23024973
3003.2,8.50664531,5.97877281,,24.28226282
3003.4,8.76968459,5.92357091,,24.30947174
3003.6,8.96876228,5.85494499,,24.30682627
3003.8,9.03732853,5.7969152,,24.29383391
3004.0,9.04309693,5.75641731,,24.29522882
3004.2,9.12788186,5.71881624,,24.31882946
3004.4,9.36136929,5.66841879,,24.35108641
3004.6,9.67101423,5.60633606,,24.37145091
3004.8,9.9243033,5.54549933,,24.36834048
3005.0,10.06310776,5.49532302,,24.34326271
3005.2,10.13509487,5.45605379,,24.30816865
3005.4,10.19793838,5.42352448,,24.28273219
3005.6,10.22829447,5.39369239,,24.28653605
3005.8,10.14997592,5.36385421,,24.32118999
3006.0,9.93729685,5.33294037,,24.35817322
3006.2,9.65729679,5.30128955,,24.35584651
3006.4,9.40251064,5.26837376,,24.29988056
3006.6,9.20550773,5.23330316,,24.22484369
3006.8,9.04212407,5.20058448,,24.1864867
3007.0,8.90508009,5.18345132,,24.20993409
3007.2,8.8343937,5.19332092,,24.26875056
3007.4,8.85708705,5.22380726,,24.31482554
3007.6,8.91863074,5.2515459,,24.32224032
3007.8,8.91073641,5.25860247,,24.30003268
3008.0,8.77558911,5.25277065,,24.27126554
3008.2,8.56161977,5.2590904,,24.24985464
3008.4,8.36416231,5.29147056,,24.23479028
3008.6,8.22970303,5.33780555,,24.21687206
3008.8,8.13371938,5.37375903,,24.1884839
3009.0,8.03808473,5.38686505,,24.15302104
3009.2,7.93563945,5.38381864,,24.1284925
3009.4,7.83171312,5.37821571,,24.1366378
3009.6,7.70789569,5.37698723,,24.18295387
3009.8,7.53039888,5.37887845,,24.24857952
3010.0,7.29724453,5.38101066,,24.30482555
3010.2,7.06977152,5.38262918,,24.33674739
3010.4,6.95112063,5.38262865,,24.35068395
3010.6,7.02518409,5.37930911,,24.36073642
3010.8,7.29317657,5.37490411,,24.37186585
